label,column,delta,p,delta_abs,p_abs,p_fdr,p_fdr_abs,univariate_flag,nonlinear_flag
broad,Package_Size_2,-0.31414701752862983,0.0,0.2839363005651081,0.0,0.0,0.0,True,True
broad,Package_Size_3,0.3154069062180249,0.0,0.2837837118187907,0.0,0.0,0.0,True,True
broad,Package_Size_4,0.35412601984425707,0.0,0.3466503709065816,0.0,0.0,0.0,True,True
broad,Coating_Thickness,0.00312100103191848,0.5190976749026541,0.0011351888359820705,0.8145910411574364,0.6283813959347918,0.8921711403152875,False,False
broad,Coating_Uniformity,-0.0009470866978644743,0.8448846812722004,0.0023413134199192775,0.6286208527286021,0.8832885304209368,0.7229139806378925,False,False
broad,Surface_Roughness,0.5751061455147894,0.0,0.35470503115146457,0.0,0.0,0.0,True,True
broad,Cooling_Thermal_Load,0.17868459201681985,2.891083050156258e-298,0.07221380967918112,2.5192032837823407e-50,6.649491015359394e-298,5.794167552699384e-50,False,False
broad,Cleaning_Capacity,-0.010630228414574172,0.02809232881915216,0.018616514914657545,0.00012015814919643653,0.05384363023670831,0.00023030311929317002,False,False
broad,Cleaning_Load_Ratio,-0.22740864395422156,0.0,0.17503224228599445,2.765828200323936e-286,0.0,7.951756075931316e-286,True,False
broad,Package_Size_Asymmetry,0.3535006527647666,0.0,0.35363332087329513,0.0,0.0,0.0,True,True
broad,Maintenance_Count,-0.001884671945694416,0.6967134517158157,-0.0004920655878248859,0.9186944826397798,0.7630671137839886,0.9186944826397798,False,False
pure,Alignment_Time,0.02485313295805458,0.0028605115022353714,0.013320329516116391,0.10994910289075353,0.007310196061268171,0.18063066903480937,False,False
pure,Process_Time,-0.012788447601226549,0.12488287493924574,-0.0025084518122561184,0.7634062157330396,0.19101258450343306,0.7981064982663595,False,False
pure,Cutting_X_Index,0.005686818082929701,0.4949793758374589,0.0004124340607725152,0.9605276746487056,0.6324736469034197,0.9605276746487056,False,False
pure,Cutting_Y_Index,-0.00035546226360694266,0.9659766479717776,-0.018100933309643574,0.0298490203989596,0.9895034703682422,0.06865274691760707,False,False
pure,Cooling_Flow,-0.02321146976820887,0.00534706384497413,0.024959564966973602,0.0027434084822654347,0.011180224403127725,0.0070109327880116664,False,False
pure,Cooling_Water_Temp,-0.012523869166832458,0.13287831965456212,0.0068959729140585235,0.40794943795676075,0.19101258450343306,0.4882270344393475,False,False
pure,CLN_Flow,-0.014704622726851801,0.07764165428055243,-0.006654728207750815,0.424545247338563,0.13736600372713123,0.4882270344393475,False,False
pure,CLN_Pressure,0.01722421951932218,0.03874512659884815,-0.032970260906257653,7.609159330155505e-05,0.07426149264779229,0.00025001523513368083,False,False
pure,CLN_Time,-0.002182289002662152,0.7934203695703659,-0.007905630620153037,0.34279094174624514,0.9124334250059208,0.43801064778686877,False,False
pure,Coating_Flow,0.00028918301731395424,0.9723177992615611,0.0038999472281697756,0.6397928747922679,0.9895034703682422,0.7007255295343887,False,False
pure,Vibration,0.06332099624614584,2.997305646385609e-14,-0.010929286981822828,0.18968890828166018,3.4469014933434504e-13,0.2852767380196358,False,False
pure,Package_Size_1,0.03856950875769982,3.6869202563924867e-06,-0.039182761840869884,2.5776486836092426e-06,1.211416655671817e-05,9.880986620502098e-06,False,False
pure,Package_Size_2,0.05039684634914754,1.4705827169227254e-09,-0.048701136411621326,5.093836169019126e-09,8.455850622305671e-09,3.905274396247997e-08,False,False
pure,Package_Size_3,-0.03803286113718518,5.0212682778762925e-06,-0.04878480136870733,4.79519989302816e-09,1.4436146298894342e-05,3.905274396247997e-08,False,False
pure,Package_Size_4,-0.04033015625215386,1.3012178768649585e-06,-0.045971449606576065,3.457766508684979e-08,4.988001861315674e-06,1.988215742493863e-07,False,False
pure,Coating_Thickness,0.013582717288449508,0.10312092408604462,-0.01364252246688269,0.10161278752880905,0.1694129467127876,0.17977647024327756,False,False
pure,Coating_Uniformity,-0.00010963414642517488,0.9895034703682422,0.010716538590940905,0.19845338297018145,0.9895034703682422,0.2852767380196358,False,False
pure,Surface_Roughness,0.43995559720713984,0.0,0.1290060908207511,4.6936051589953256e-54,0.0,1.079529186568925e-52,True,False
pure,Cooling_Thermal_Load,0.007574667729352669,0.3633764973732455,0.015046689972179061,0.070983518146783,0.49162702585792045,0.13605174311466742,False,False
pure,Cleaning_Capacity,-0.024564007233376484,0.003202009818082325,0.03258575335960456,9.220162665511684e-05,0.007364622581589347,0.00026507967663346095,False,False
pure,Cleaning_Load_Ratio,0.05202718018065977,4.2872713319881735e-10,0.017185376153848075,0.03918656574087944,3.2869080211909333e-09,0.08193554654911156,False,False
pure,Package_Size_Asymmetry,-0.041760332530792366,5.409591612073696e-07,-0.04248852610015874,3.4223416151456957e-07,2.4884121415539003e-06,1.57427714296702e-06,False,False
pure,Maintenance_Count,0.002302334783561788,0.7821037245298935,-0.008632264788137944,0.29823962410433635,0.9124334250059208,0.40350066790586686,False,False
